sample,count,class,species,genus,method,is_full_species,prop_count,aligned_species
CROP_0214,2842,Aves,Alectoris,Alectoris,eDNA,FALSE,0.077701225,Alectoris_rufa
CROP_0514,70,Aves,Alectoris,Alectoris,eDNA,FALSE,0.002240574,Alectoris_rufa
CROP_1006,190,Aves,Alectoris,Alectoris,eDNA,FALSE,0.001970791,Alectoris_rufa
CROP_1114,18266,Aves,Alectoris,Alectoris,eDNA,FALSE,0.150821567,Alectoris_rufa
CROP_1201,301,Aves,Alectoris,Alectoris,eDNA,FALSE,0.002278077,Alectoris_rufa
CROP_1203,965,Aves,Alectoris,Alectoris,eDNA,FALSE,0.009350866,Alectoris_rufa
CROP_1206,325,Aves,Alectoris,Alectoris,eDNA,FALSE,0.002685906,Alectoris_rufa
CROP_1207,152,Aves,Alectoris,Alectoris,eDNA,FALSE,0.002907199,Alectoris_rufa
CROP_1208,105,Aves,Alectoris,Alectoris,eDNA,FALSE,0.002011494,Alectoris_rufa
CROP_1209,612,Aves,Alectoris,Alectoris,eDNA,FALSE,0.007733913,Alectoris_rufa
CROP_1210,629,Aves,Alectoris,Alectoris,eDNA,FALSE,0.010760046,Alectoris_rufa
CROP_1005,1,Aves,Alectoris_rufa,Alectoris,camera,TRUE,0.010309278,Alectoris_rufa
CROP_0101,30,Aves,Anas,Anas,eDNA,FALSE,0.001245744,Anas
CROP_0104,76,Aves,Anas,Anas,eDNA,FALSE,0.002838045,Anas
CROP_0105,70,Aves,Anas,Anas,eDNA,FALSE,0.002514458,Anas
CROP_0106,155,Aves,Anas,Anas,eDNA,FALSE,0.006469385,Anas
CROP_0108,82,Aves,Anas,Anas,eDNA,FALSE,0.003289738,Anas
CROP_0109,113,Aves,Anas,Anas,eDNA,FALSE,0.002761891,Anas
CROP_0201,85,Aves,Anas,Anas,eDNA,FALSE,0.002085992,Anas
CROP_0202,46,Aves,Anas,Anas,eDNA,FALSE,0.001598999,Anas
CROP_0206,350,Aves,Anas,Anas,eDNA,FALSE,0.005735354,Anas
CROP_0302,121,Aves,Anas,Anas,eDNA,FALSE,0.001379075,Anas
CROP_0404,97,Aves,Anas,Anas,eDNA,FALSE,0.001352972,Anas
CROP_0509,46,Aves,Anas,Anas,eDNA,FALSE,0.001066345,Anas
CROP_0704,175,Aves,Anas,Anas,eDNA,FALSE,0.004984051,Anas
CROP_0705,691,Aves,Anas,Anas,eDNA,FALSE,0.008001575,Anas
CROP_0802,147,Aves,Anas,Anas,eDNA,FALSE,0.002332334,Anas
CROP_0902,97,Aves,Anas,Anas,eDNA,FALSE,0.001075424,Anas
CROP_1001,2235,Aves,Anas,Anas,eDNA,FALSE,0.024180461,Anas
CROP_1002,875,Aves,Anas,Anas,eDNA,FALSE,0.009827486,Anas
CROP_1004,361,Aves,Anas,Anas,eDNA,FALSE,0.004665529,Anas
CROP_1005,897,Aves,Anas,Anas,eDNA,FALSE,0.010423809,Anas
CROP_1006,736,Aves,Anas,Anas,eDNA,FALSE,0.007634221,Anas
CROP_1007,512,Aves,Anas,Anas,eDNA,FALSE,0.005817058,Anas
CROP_1009,496,Aves,Anas,Anas,eDNA,FALSE,0.007450692,Anas
CROP_1010,794,Aves,Anas,Anas,eDNA,FALSE,0.009380021,Anas
CROP_1101,1048,Aves,Anas,Anas,eDNA,FALSE,0.013580583,Anas
CROP_1102,1760,Aves,Anas,Anas,eDNA,FALSE,0.050166747,Anas
CROP_1104,1651,Aves,Anas,Anas,eDNA,FALSE,0.018238056,Anas
CROP_1106,1680,Aves,Anas,Anas,eDNA,FALSE,0.018816783,Anas
CROP_1108,1162,Aves,Anas,Anas,eDNA,FALSE,0.011877504,Anas
CROP_1109,1635,Aves,Anas,Anas,eDNA,FALSE,0.022416299,Anas
CROP_1110,1289,Aves,Anas,Anas,eDNA,FALSE,0.01770653,Anas
CROP_1111,1160,Aves,Anas,Anas,eDNA,FALSE,0.010645034,Anas
CROP_1112,625,Aves,Anas,Anas,eDNA,FALSE,0.009020321,Anas
CROP_1114,315,Aves,Anas,Anas,eDNA,FALSE,0.002600941,Anas
CROP_1201,1290,Aves,Anas,Anas,eDNA,FALSE,0.009763186,Anas
CROP_1203,1002,Aves,Anas,Anas,eDNA,FALSE,0.009709396,Anas
CROP_1204,757,Aves,Anas,Anas,eDNA,FALSE,0.011906822,Anas
CROP_1205,2005,Aves,Anas,Anas,eDNA,FALSE,0.016845342,Anas
CROP_1207,832,Aves,Anas,Anas,eDNA,FALSE,0.01591309,Anas
CROP_1208,1102,Aves,Anas,Anas,eDNA,FALSE,0.021111111,Anas
CROP_0101,1,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.076923077,Anas
CROP_0103,4,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.666666667,Anas
CROP_0203,4,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.363636364,Anas
CROP_0301,62,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.673913043,Anas
CROP_0303,4,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.015037594,Anas
CROP_0308,1,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.166666667,Anas
CROP_0309,8,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.666666667,Anas
CROP_0310,24,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.685714286,Anas
CROP_0401,5,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.2,Anas
CROP_0403,11,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.107843137,Anas
CROP_0408,7,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.466666667,Anas
CROP_0409,6,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.75,Anas
CROP_0410,10,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.294117647,Anas
CROP_0501,38,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.535211268,Anas
CROP_0503,59,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.5,Anas
CROP_0508,7,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.466666667,Anas
CROP_0509,21,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.552631579,Anas
CROP_0510,7,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.4375,Anas
CROP_0601,22,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.338461538,Anas
CROP_0603,24,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.203389831,Anas
CROP_0701,31,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.336956522,Anas
CROP_0703,74,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.362745098,Anas
CROP_0801,20,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.363636364,Anas
CROP_0803,28,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.823529412,Anas
CROP_0809,1,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.04,Anas
CROP_0810,3,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.157894737,Anas
CROP_1101,2,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.117647059,Anas
CROP_1203,1,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.166666667,Anas
CROP_1301,10,Aves,Anas_platyrhynchos,Anas,camera,TRUE,0.3125,Anas
CROP_0607,187,Actinopteri,Anguilla,Anguilla,eDNA,FALSE,0.004978038,Anguilla
CROP_0608,88,Actinopteri,Anguilla,Anguilla,eDNA,FALSE,0.002581781,Anguilla
CROP_1204,111,Actinopteri,Anguilla,Anguilla,eDNA,FALSE,0.001745914,Anguilla
CROP_0106,31,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.001293877,Apodemus_sylvaticus
CROP_0201,49,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.001202513,Apodemus_sylvaticus
CROP_0206,126,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.002064728,Apodemus_sylvaticus
CROP_0208,35,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.001382143,Apodemus_sylvaticus
CROP_0212,85,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.001589706,Apodemus_sylvaticus
CROP_0213,70,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.002340824,Apodemus_sylvaticus
CROP_0214,525,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.014353675,Apodemus_sylvaticus
CROP_0302,94,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.001071347,Apodemus_sylvaticus
CROP_0304,378,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.003357135,Apodemus_sylvaticus
CROP_0305,148,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.001533218,Apodemus_sylvaticus
CROP_0402,63,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.001080525,Apodemus_sylvaticus
CROP_0404,77,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.001074009,Apodemus_sylvaticus
CROP_0502,76,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.002467292,Apodemus_sylvaticus
CROP_0602,154,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.003999273,Apodemus_sylvaticus
CROP_0604,206,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.006977374,Apodemus_sylvaticus
CROP_0609,37,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.001551038,Apodemus_sylvaticus
CROP_0812,114,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.001942608,Apodemus_sylvaticus
CROP_0902,104,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.001153032,Apodemus_sylvaticus
CROP_1001,381,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.004122038,Apodemus_sylvaticus
CROP_1002,825,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.009265915,Apodemus_sylvaticus
CROP_1004,109,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.001408706,Apodemus_sylvaticus
CROP_1005,105,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.001220178,Apodemus_sylvaticus
CROP_1006,281,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.002914696,Apodemus_sylvaticus
CROP_1007,406,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.004612745,Apodemus_sylvaticus
CROP_1008,131,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.001669194,Apodemus_sylvaticus
CROP_1009,227,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.003409893,Apodemus_sylvaticus
CROP_1010,327,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.003863056,Apodemus_sylvaticus
CROP_1102,165,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.004703133,Apodemus_sylvaticus
CROP_1103,169,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.002235391,Apodemus_sylvaticus
CROP_1104,266,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.002938415,Apodemus_sylvaticus
CROP_1109,279,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.003825167,Apodemus_sylvaticus
CROP_1207,106,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.002027389,Apodemus_sylvaticus
CROP_1209,180,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.00227468,Apodemus_sylvaticus
CROP_1210,75,Mammalia,Apodemus,Apodemus,eDNA,FALSE,0.001282994,Apodemus_sylvaticus
CROP_0203,1,Mammalia,Apodemus_sylvaticus,Apodemus,camera,TRUE,0.090909091,Apodemus_sylvaticus
CROP_0407,1,Mammalia,Apodemus_sylvaticus,Apodemus,camera,TRUE,0.018518519,Apodemus_sylvaticus
CROP_0904,1,Mammalia,Apodemus_sylvaticus,Apodemus,camera,TRUE,0.018867925,Apodemus_sylvaticus
CROP_1208,1,Mammalia,Apodemus_sylvaticus,Apodemus,camera,TRUE,0.029411765,Apodemus_sylvaticus
CROP_0303,1737,Aves,Ardea,Ardea,eDNA,FALSE,0.016780177,Ardea_cinerea
CROP_0304,275,Aves,Ardea,Ardea,eDNA,FALSE,0.00244236,Ardea_cinerea
CROP_0305,127,Aves,Ardea,Ardea,eDNA,FALSE,0.001315667,Ardea_cinerea
CROP_0307,74,Aves,Ardea,Ardea,eDNA,FALSE,0.00122612,Ardea_cinerea
CROP_0308,147,Aves,Ardea,Ardea,eDNA,FALSE,0.002467437,Ardea_cinerea
CROP_0310,111,Aves,Ardea,Ardea,eDNA,FALSE,0.001716486,Ardea_cinerea
CROP_0203,1,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.090909091,Ardea_cinerea
CROP_0303,11,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.041353383,Ardea_cinerea
CROP_0309,1,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.083333333,Ardea_cinerea
CROP_0310,1,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.028571429,Ardea_cinerea
CROP_0401,6,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.24,Ardea_cinerea
CROP_0403,8,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.078431373,Ardea_cinerea
CROP_0405,1,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.055555556,Ardea_cinerea
CROP_0407,1,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.018518519,Ardea_cinerea
CROP_0408,1,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.066666667,Ardea_cinerea
CROP_0409,1,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.125,Ardea_cinerea
CROP_0410,4,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.117647059,Ardea_cinerea
CROP_0503,6,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.050847458,Ardea_cinerea
CROP_0601,5,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.076923077,Ardea_cinerea
CROP_0602,4,Aves,Ardea_cinerea,Ardea,camera,TRUE,1,Ardea_cinerea
CROP_0603,23,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.194915254,Ardea_cinerea
CROP_0604,3,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.069767442,Ardea_cinerea
CROP_0605,2,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.111111111,Ardea_cinerea
CROP_0608,2,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.285714286,Ardea_cinerea
CROP_0610,4,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.363636364,Ardea_cinerea
CROP_0701,7,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.076086957,Ardea_cinerea
CROP_0702,3,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.75,Ardea_cinerea
CROP_0703,24,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.117647059,Ardea_cinerea
CROP_0704,12,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.210526316,Ardea_cinerea
CROP_0705,4,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.129032258,Ardea_cinerea
CROP_0706,5,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.067567568,Ardea_cinerea
CROP_0707,12,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.203389831,Ardea_cinerea
CROP_0710,3,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.230769231,Ardea_cinerea
CROP_0801,5,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.090909091,Ardea_cinerea
CROP_0802,1,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.5,Ardea_cinerea
CROP_0803,2,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.058823529,Ardea_cinerea
CROP_0804,1,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.083333333,Ardea_cinerea
CROP_0805,2,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.064516129,Ardea_cinerea
CROP_0807,1,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.125,Ardea_cinerea
CROP_0809,4,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.16,Ardea_cinerea
CROP_0810,6,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.315789474,Ardea_cinerea
CROP_0904,2,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.037735849,Ardea_cinerea
CROP_0907,2,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.012048193,Ardea_cinerea
CROP_1003,4,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.666666667,Ardea_cinerea
CROP_1004,1,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.007874016,Ardea_cinerea
CROP_1010,1,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.019607843,Ardea_cinerea
CROP_1101,1,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.058823529,Ardea_cinerea
CROP_1201,1,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.333333333,Ardea_cinerea
CROP_1203,1,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.166666667,Ardea_cinerea
CROP_1301,1,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.03125,Ardea_cinerea
CROP_1304,1,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.1,Ardea_cinerea
CROP_1307,1,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.02173913,Ardea_cinerea
CROP_1308,2,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.153846154,Ardea_cinerea
CROP_1310,12,Aves,Ardea_cinerea,Ardea,camera,TRUE,0.52173913,Ardea_cinerea
CROP_0510,1,Aves,Branta_canadensis,Branta,camera,TRUE,0.0625,Branta_canadensis
CROP_0106,48,Amphibia,Bufo,Bufo,eDNA,FALSE,0.002003423,Bufo_bufo
CROP_0201,79,Amphibia,Bufo,Bufo,eDNA,FALSE,0.001938745,Bufo_bufo
CROP_0204,20,Amphibia,Bufo,Bufo,eDNA,FALSE,0.001284109,Bufo_bufo
CROP_0208,70,Amphibia,Bufo,Bufo,eDNA,FALSE,0.002764285,Bufo_bufo
CROP_0209,80,Amphibia,Bufo,Bufo,eDNA,FALSE,0.001340977,Bufo_bufo
CROP_0210,151,Amphibia,Bufo,Bufo,eDNA,FALSE,0.003840285,Bufo_bufo
CROP_0211,67,Amphibia,Bufo,Bufo,eDNA,FALSE,0.001379055,Bufo_bufo
CROP_0213,36,Amphibia,Bufo,Bufo,eDNA,FALSE,0.001203852,Bufo_bufo
CROP_0214,71,Amphibia,Bufo,Bufo,eDNA,FALSE,0.001941164,Bufo_bufo
CROP_0301,8199,Amphibia,Bufo,Bufo,eDNA,FALSE,0.092682817,Bufo_bufo
CROP_0302,8557,Amphibia,Bufo,Bufo,eDNA,FALSE,0.097526784,Bufo_bufo
CROP_0303,1875,Amphibia,Bufo,Bufo,eDNA,FALSE,0.018113317,Bufo_bufo
CROP_0304,8367,Amphibia,Bufo,Bufo,eDNA,FALSE,0.074309922,Bufo_bufo
CROP_0305,4985,Amphibia,Bufo,Bufo,eDNA,FALSE,0.051642512,Bufo_bufo
CROP_0306,2976,Amphibia,Bufo,Bufo,eDNA,FALSE,0.051243199,Bufo_bufo
CROP_0307,1294,Amphibia,Bufo,Bufo,eDNA,FALSE,0.021440525,Bufo_bufo
CROP_0308,3372,Amphibia,Bufo,Bufo,eDNA,FALSE,0.056599973,Bufo_bufo
CROP_0309,4434,Amphibia,Bufo,Bufo,eDNA,FALSE,0.056590048,Bufo_bufo
CROP_0310,2366,Amphibia,Bufo,Bufo,eDNA,FALSE,0.03658744,Bufo_bufo
CROP_0401,3213,Amphibia,Bufo,Bufo,eDNA,FALSE,0.048284568,Bufo_bufo
CROP_0402,3496,Amphibia,Bufo,Bufo,eDNA,FALSE,0.059960552,Bufo_bufo
CROP_0403,3701,Amphibia,Bufo,Bufo,eDNA,FALSE,0.045455662,Bufo_bufo
CROP_0404,4129,Amphibia,Bufo,Bufo,eDNA,FALSE,0.057591988,Bufo_bufo
CROP_0405,16012,Amphibia,Bufo,Bufo,eDNA,FALSE,0.101902234,Bufo_bufo
CROP_0406,9793,Amphibia,Bufo,Bufo,eDNA,FALSE,0.079249986,Bufo_bufo
CROP_0407,5156,Amphibia,Bufo,Bufo,eDNA,FALSE,0.051717739,Bufo_bufo
CROP_0408,3309,Amphibia,Bufo,Bufo,eDNA,FALSE,0.061833131,Bufo_bufo
CROP_0409,3798,Amphibia,Bufo,Bufo,eDNA,FALSE,0.040077242,Bufo_bufo
CROP_0410,18484,Amphibia,Bufo,Bufo,eDNA,FALSE,0.248889128,Bufo_bufo
CROP_0501,157,Amphibia,Bufo,Bufo,eDNA,FALSE,0.004920242,Bufo_bufo
CROP_0502,38,Amphibia,Bufo,Bufo,eDNA,FALSE,0.001233646,Bufo_bufo
CROP_0503,590,Amphibia,Bufo,Bufo,eDNA,FALSE,0.017358557,Bufo_bufo
CROP_0505,490,Amphibia,Bufo,Bufo,eDNA,FALSE,0.014360237,Bufo_bufo
CROP_0506,566,Amphibia,Bufo,Bufo,eDNA,FALSE,0.020991729,Bufo_bufo
CROP_0507,335,Amphibia,Bufo,Bufo,eDNA,FALSE,0.00862935,Bufo_bufo
CROP_0508,1332,Amphibia,Bufo,Bufo,eDNA,FALSE,0.023432964,Bufo_bufo
CROP_0509,265,Amphibia,Bufo,Bufo,eDNA,FALSE,0.006143076,Bufo_bufo
CROP_0510,449,Amphibia,Bufo,Bufo,eDNA,FALSE,0.010247632,Bufo_bufo
CROP_0511,1606,Amphibia,Bufo,Bufo,eDNA,FALSE,0.038544617,Bufo_bufo
CROP_0512,2032,Amphibia,Bufo,Bufo,eDNA,FALSE,0.045282346,Bufo_bufo
CROP_0514,79,Amphibia,Bufo,Bufo,eDNA,FALSE,0.002528647,Bufo_bufo
CROP_0601,183,Amphibia,Bufo,Bufo,eDNA,FALSE,0.006798677,Bufo_bufo
CROP_0602,362,Amphibia,Bufo,Bufo,eDNA,FALSE,0.009400888,Bufo_bufo
CROP_0603,2216,Amphibia,Bufo,Bufo,eDNA,FALSE,0.063078193,Bufo_bufo
CROP_0604,69,Amphibia,Bufo,Bufo,eDNA,FALSE,0.002337082,Bufo_bufo
CROP_0605,599,Amphibia,Bufo,Bufo,eDNA,FALSE,0.016613968,Bufo_bufo
CROP_0606,362,Amphibia,Bufo,Bufo,eDNA,FALSE,0.012871111,Bufo_bufo
CROP_0607,504,Amphibia,Bufo,Bufo,eDNA,FALSE,0.013416744,Bufo_bufo
CROP_0608,370,Amphibia,Bufo,Bufo,eDNA,FALSE,0.010855215,Bufo_bufo
CROP_0609,259,Amphibia,Bufo,Bufo,eDNA,FALSE,0.010857263,Bufo_bufo
CROP_0610,202,Amphibia,Bufo,Bufo,eDNA,FALSE,0.006547388,Bufo_bufo
CROP_0701,293,Amphibia,Bufo,Bufo,eDNA,FALSE,0.005905829,Bufo_bufo
CROP_0702,204,Amphibia,Bufo,Bufo,eDNA,FALSE,0.004671613,Bufo_bufo
CROP_0703,37,Amphibia,Bufo,Bufo,eDNA,FALSE,0.001259189,Bufo_bufo
CROP_0704,285,Amphibia,Bufo,Bufo,eDNA,FALSE,0.008116883,Bufo_bufo
CROP_0705,225,Amphibia,Bufo,Bufo,eDNA,FALSE,0.002605433,Bufo_bufo
CROP_0706,571,Amphibia,Bufo,Bufo,eDNA,FALSE,0.013463171,Bufo_bufo
CROP_0707,185,Amphibia,Bufo,Bufo,eDNA,FALSE,0.004100904,Bufo_bufo
CROP_0708,322,Amphibia,Bufo,Bufo,eDNA,FALSE,0.008931296,Bufo_bufo
CROP_0709,140,Amphibia,Bufo,Bufo,eDNA,FALSE,0.00242689,Bufo_bufo
CROP_0801,5072,Amphibia,Bufo,Bufo,eDNA,FALSE,0.085612045,Bufo_bufo
CROP_0802,33037,Amphibia,Bufo,Bufo,eDNA,FALSE,0.52417218,Bufo_bufo
CROP_0804,322,Amphibia,Bufo,Bufo,eDNA,FALSE,0.008253024,Bufo_bufo
CROP_0811,2657,Amphibia,Bufo,Bufo,eDNA,FALSE,0.043443427,Bufo_bufo
CROP_0813,1135,Amphibia,Bufo,Bufo,eDNA,FALSE,0.011424028,Bufo_bufo
CROP_0902,267,Amphibia,Bufo,Bufo,eDNA,FALSE,0.002960187,Bufo_bufo
CROP_0904,211,Amphibia,Bufo,Bufo,eDNA,FALSE,0.002374335,Bufo_bufo
CROP_0907,345,Amphibia,Bufo,Bufo,eDNA,FALSE,0.003566518,Bufo_bufo
CROP_0909,80,Amphibia,Bufo,Bufo,eDNA,FALSE,0.001263145,Bufo_bufo
CROP_1001,862,Amphibia,Bufo,Bufo,eDNA,FALSE,0.009325976,Bufo_bufo
CROP_1003,463,Amphibia,Bufo,Bufo,eDNA,FALSE,0.008437973,Bufo_bufo
CROP_1005,167,Amphibia,Bufo,Bufo,eDNA,FALSE,0.001940664,Bufo_bufo
CROP_1006,152,Amphibia,Bufo,Bufo,eDNA,FALSE,0.001576633,Bufo_bufo
CROP_1008,216,Amphibia,Bufo,Bufo,eDNA,FALSE,0.002752259,Bufo_bufo
